cvegeo	llamadas_hidroproblemas
0901500010767	4
0901500010771	2
0901500010771	2
0901500010790	2
0901500010790	2
0901500010803	6
0901500010803	6
0901500010818	2
0901500010818	2
0901500010822	6
0901500010822	6
0901500010841	8
0901500010841	8
0901500010856	2
0901500010856	2
0901500010860	4
0901500010860	4
0901500010875	18
0901500010875	18
090150001088A	2
090150001088A	2
0901500010894	2
0901500010894	2
0901500010911	8
0901500010911	8
0901500010926	6
0901500010926	6
0901500010945	4
0901500010945	4
090150001095A	4
090150001095A	4
0901500010983	2
0901500010983	2
0901500010998	8
0901500010998	8
0901500011002	12
0901500011002	12
0901500011017	4
0901500011017	4
0901500011036	12
0901500011036	12
0901500011040	4
0901500011040	4
0901500011055	8
0901500011055	8
0901500011074	6
0901500011074	6
0901500011093	4
0901500011093	4
0901500011110	6
0901500011110	6
0901500011125	6
0901500011125	6
090150001113A	6
090150001113A	6
0901500011144	2
0901500011144	2
0901500011159	6
0901500011159	6
0901500011163	4
0901500011163	4
0901500011178	2
0901500011178	2
0901500011182	4
0901500011182	4
0901500011197	6
0901500011197	6
090150001120A	2
090150001120A	2
0901500011214	8
0901500011214	8
0901500011229	8
0901500011229	8
0901500011233	4
0901500011233	4
0901500011267	4
0901500011267	4
0901500011271	2
0901500011271	2
0901500011286	2
0901500011286	2
0901500011303	4
0901500011303	4
0901500011318	2
0901500011318	2
0901500011322	4
0901500011322	4
0901500011341	6
0901500011341	6
0901500011356	10
0901500011356	10
0901500011360	2
0901500011360	2
090150001138A	2
090150001138A	2
0901500011411	2
0901500011411	2
0901500011426	8
0901500011426	8
090150001145A	4
090150001145A	4
0901500011464	4
0901500011464	4
0901500011479	2
0901500011479	2
0901500011483	4
0901500011483	4
0901500011498	4
0901500011498	4
0901500011500	4
0901500011500	4
0901500011515	6
0901500011515	6
090150001152A	6
090150001152A	6
0901500011549	2
0901500011549	2
090160001004A	4
090160001004A	4
0901600010073	2
0901600010073	2
0901600010088	4
0901600010088	4
0901600010105	4
0901600010105	4
090160001011A	2
090160001011A	2
0901600010139	4
0901600010139	4
0901600010143	2
0901600010143	2
0901600010158	4
0901600010158	4
0901600010177	6
0901600010177	6
0901600010213	4
0901600010213	4
0901600010232	2
0901600010232	2
0901600010247	2
0901600010247	2
090160001029A	4
090160001029A	4
0901600010302	2
0901600010302	2
0901600010321	2
0901600010321	2
0901600010340	2
0901600010340	2
0901600010389	4
0901600010389	4
0901600010393	8
0901600010393	8
0901600010425	2
0901600010425	2
0901600010444	2
0901600010444	2
0901600010459	4
0901600010459	4
0901600010478	2
0901600010478	2
0901600010497	2
0901600010497	2
090160001050A	4
090160001050A	4
0901600010514	4
0901600010514	4
0901600010533	2
0901600010533	2
0901600010571	2
0901600010571	2
0901600010641	2
0901600010641	2
0901600010656	6
0901600010656	6
0901600010660	4
0901600010660	4
0901600010675	2
0901600010675	2
0901600010694	4
0901600010694	4
0901600010707	2
0901600010707	2
0901600010711	4
0901600010711	4
090160001075A	2
090160001075A	2
0901600010764	2
0901600010764	2
0901600010779	4
0901600010779	4
0901600010783	8
0901600010783	8
0901600010798	16
0901600010798	16
0901600010891	4
0901600010891	4
0901600010904	2
0901600010904	2
0901600010923	6
0901600010923	6
0901600010942	2
0901600010942	2
0901600011014	4
0901600011014	4
0901600011029	6
0901600011029	6
0901600011033	2
0901600011033	2
0901600011052	2
0901600011052	2
0901600011067	2
0901600011067	2
0901600011118	2
0901600011118	2
0901600011156	2
0901600011156	2
0901600011160	2
0901600011160	2
090160001118A	4
090160001118A	4
0901600011245	2
0901600011245	2
090160001125A	2
090160001125A	2
0901600011264	8
0901600011264	8
0901600011283	2
0901600011283	2
0901600011300	10
0901600011300	10
0901700010028	2
0901700010028	2
0901700010047	2
0901700010047	2
0901700010102	2
0901700010102	2
0901700010117	6
0901700010117	6
0901700010121	4
0901700010121	4
0901700010136	2
0901700010136	2
0901700010140	10
0901700010140	10
0901700010155	2
0901700010155	2
0901700010189	2
0901700010189	2
0901700010193	2
0901700010193	2
0901700010206	6
0901700010206	6
0901700010210	4
0901700010210	4
0901700010244	2
0901700010244	2
090170001030A	4
090170001030A	4
0901700010314	2
0901700010314	2
0901700010329	6
0901700010329	6
0901700010371	2
0901700010371	2
0901700010418	4
0901700010418	4
0901700010441	4
0901700010441	4
0901700010460	2
0901700010460	2
0901700010494	4
0901700010494	4
0901700010545	4
0901700010545	4
090170001055A	2
090170001055A	2
0901700010583	2
0901700010583	2
0901700010600	2
0901700010600	2
0901700010653	6
0901700010653	6
0901700010668	2
0901700010668	2
0901700010672	6
0901700010672	6
0901700010704	2
0901700010704	2
0901700010723	2
0901700010723	2
0901700010780	2
0901700010780	2
0901700010795	2
0901700010795	2
0901700010827	4
0901700010827	4
0901700010831	2
0901700010831	2
0901700010846	2
0901700010846	2
0901700010865	4
0901700010865	4
0901700010884	2
0901700010884	2
0901700010899	2
0901700010899	2
0901700010901	2
0901700010901	2
0901700011030	4
0901700011030	4
090170001105A	4
090170001105A	4
0901700011083	4
0901700011083	4
0901700011168	2
0901700011168	2
0901700011238	2
0901700011238	2
0901700011242	4
0901700011242	4
0901700011257	2
0901700011257	2
0901700011276	2
0901700011276	2
0901700011308	6
0901700011308	6
0901700011327	2
0901700011327	2
0901700011331	2
0901700011331	2
0901700011346	2
0901700011346	2
0901700011365	2
0901700011365	2
0901700011384	2
0901700011384	2
0901700011416	4
0901700011416	4
0901000012254	NA
0900700010958	NA
0900700011443	NA
0900700014556	NA
0900700015728	NA
0901100111037	NA
090070001561A	NA
0900700014594	NA
0900700011655	NA
0900700011301	NA
0901200010360	NA
0901400010469	NA
0901300011474	NA
0901400010702	NA
0901200011570	NA
0901300010315	NA
0901300010300	NA
0901300010688	NA
090130001114A	NA
0901200011636	NA
0901000012358	NA
0901100011465	NA
0901100010113	NA
0901200010125	NA
0901000011913	NA
090110001065A	NA
0901000010101	NA
0901100010645	NA
0901000010949	NA
0901000010563	NA
0901100010096	NA
0901000012184	NA
0901000012146	NA
0901000010510	NA
0901000010188	NA
0901000010578	NA
0901100010448	NA
0901000012112	NA
0901000010313	NA
0901100011499	NA
0901000012220	NA
0900700015319	NA
0900600011183	NA
0900700010233	NA
0900700015802	NA
0900700013628	NA
0901000010898	NA
0900600010310	NA
0900700014147	NA
0900700013825	NA
0901000011843	NA
0901000010703	NA
090100001181A	NA
0901100010679	NA
0901100011412	NA
090100001110A	NA
0901000011487	NA
0901000010845	NA
090110001147A	NA
0901000010741	NA
0901000011218	NA
0901000012080	NA
0901100010823	NA
0901000010313	NA
0901000012235	NA
090070001006A	NA
0900900010308	NA
0900700014537	NA
0900700013276	NA
0900700010888	NA
0900700013153	NA
0900700013242	NA
0900700010572	NA
0900700014448	NA
0900700013755	NA
0900700011299	NA
0900700014077	NA
0900700013149	NA
0900700011918	NA
0900300010520	NA
0900700015520	NA
0900700010093	NA
0901200011513	NA
0900300011181	NA
0900400010250	NA
0900800010404	NA
0901000012254	NA
0900300010978	NA
0900200010114	NA
090050001306A	NA
0900700013558	NA
0900700015677	NA
0900700013971	NA
0900903000632	NA
0900800010160	NA
0900300011285	NA
090070001472A	NA
0900800010207	NA
0901600010482	NA
090020001074A	NA
0900500013178	NA
0901600010463	NA
0901500010659	NA
0900200010699	NA
0901200010765	NA
0901200272422	NA
0901200261710	NA
0900700011706	NA
0901200262390	NA
0900600010537	NA
090120001216A	NA
0901000010718	NA
0900700014946	NA
0900700014109	NA
0901300011328	NA
0901300011525	NA
0900200010237	NA
0900600010077	NA
0900500012095	NA
0900500010188	NA
0900600011075	NA
0900500011218	NA
0900300010821	NA
090020001099A	NA
090130001089A	NA
0900600010486	NA
0900500012184	NA
0900500012767	NA
0901300010226	NA
0901700010507	NA
0901300011065	NA
0901300011385	NA
0901200010318	NA
0901200010604	NA
0901100241520	NA
0901000011519	NA
090150001017A	NA
0901200010750	NA
090050001263A	NA
0901600010919	NA
0900500011627	NA
0900500010027	NA
0900500012305	NA
0900500010366	NA
0901600011368	NA
0901500011394	NA
0901700010278	NA
0901600011207	NA
0901700010348	NA
0901500010413	NA
0901700010916	NA
0901700010051	NA
0901700010511	NA
090110471	NA
0901200010939	NA
090130001146A	NA
0901300011436	NA
090120027230A	NA
0901200262390	NA
0900500010811	NA
0900700014946	NA
0900600010768	NA
0900500011788	NA
0900600010804	NA
0900600011056	NA
0901300011309	NA
0900300011016	NA
0900200010133	NA
0900300011302	NA
0900200010487	NA
0900200010275	NA
0900600010626	NA
0900600010486	NA
090040001027A	NA
0901700011011	NA
0900600010289	NA
0900500011059	NA
0900500012451	NA
0900500012678	NA
0900500010027	NA
0900600010895	NA
0900500013322	NA
0900500011330	NA
0900500012803	NA
0900600010804	NA
090060001065A	NA
0900500012606	NA
0901600011368	NA
0901600010548	NA
0901500010748	NA
0900300011730	NA
0901700010348	NA
0901700011435	NA
090110471	NA
0900300010520	NA
0900500011754	NA
0900300011143	NA
0900200010561	NA
0900800010029	NA
0900300010446	NA
0900200010909	NA
0900700011123	NA
0900700013562	NA
090020001117A	NA
0900900360223	NA
0900900240204	NA
0900300011764	NA
0900800010334	NA
090170001048A	NA
090170001087A	NA
0900200010843	NA
0901700010456	NA
0900800010014	NA
0900900240204	NA
0901700010579	NA
0901500010396	NA
0900400010299	NA
0900400010104	NA
0901500010108	NA
090170001112A	NA
0900700014310	NA
090070001337A	NA
0901100211018	NA
0901100010274	NA
090050001338A	NA
0900200010896	NA
0900700011693	NA
0901200012174	NA
0900700015361	NA
0900300010408	NA
0900300010361	NA
0900500012057	NA
090060001072A	NA
0900700014096	NA
0900500011951	NA
0900600010927	NA
0901500010108	NA
0900300011529	NA
0900400010392	NA
0900600010664	NA
0900300011586	NA
0901600010957	NA
0900903000647	NA
0900700011496	NA
0900300010484	NA
0900300011393	NA
0901000011557	NA
0901000011627	NA
0900300010889	NA
0900901520628	NA
0901000010332	NA
0900300011656	NA
0900300011355	NA
090080001025A	NA
0901700010456	NA
0901600010622	NA
0901600010590	NA
090160001100A	NA
0901500010517	NA
0901500010521	NA
0901200011744	NA
0901200011462	NA
0900200010260	NA
0900500013356	NA
0900600010217	NA
0900500012837	NA
0901700010475	NA
0901000012292	NA
0901600011211	NA
0901700010352	NA
0901700011420	NA
0901700010367	NA
0901300011563	NA
0901300011578	NA
0901400010454	NA
0901400010670	NA
0901200262418	NA
0901400010492	NA
0901400010098	NA
0901300011440	NA
0901400010045	NA
0901100011291	NA
0901200012051	NA
0901200010229	NA
0901100010946	NA
0900700011299	NA
0901100241408	NA
0901100240734	NA
0901200010731	NA
0901100010433	NA
0901300010885	NA
0901100010927	NA
0900700010290	NA
0901000010489	NA
0901100211516	NA
0901000011858	NA
0900300010357	NA
0901000011773	NA
0901700011134	NA
0901700011115	NA
0901500011248	NA
0900700015639	NA
0900500011631	NA
0900500011398	NA
0900500013341	NA
0900500010915	NA
0900500011114	NA
0900500011792	NA
0900500012803	NA
0901300010885	NA
090060001065A	NA
0901700010935	NA
090150001106A	NA
0901500010748	NA
0901100011287	NA
0900700013346	NA
0900700015380	NA
0900600010344	NA
0900700012969	NA
0900700013242	NA
0900600010096	NA
0900700015751	NA
0900700014452	NA
090070001522A	NA
0900700014448	NA
0900700013755	NA
0901200010498	NA
0900700015588	NA
0900700011994	NA
0900700015732	NA
0900700015323	NA
0900700014202	NA
0900700011759	NA
0900500011913	NA
0901000010737	NA
090140001101A	NA
0901300011120	NA
0901400010469	NA
0900500010667	NA
0901300011347	NA
0901400010670	NA
0901400010098	NA
0901000011792	NA
090130001114A	NA
0901200012051	NA
090120001091A	NA
0901300010442	NA
0901000012339	NA
0901100010043	NA
0901000010351	NA
0901100010113	NA
0901200012225	NA
0901000010760	NA
0901000010633	NA
0901300011510	NA
0901000010794	NA
0901000011913	NA
090100001021A	NA
090120001223A	NA
0901000012184	NA
0901000010510	NA
0901000011932	NA
0901100010058	NA
0901000010012	NA
0900700013492	NA
090090011051A	NA
0900700014575	NA
0900700015287	NA
0900700015338	NA
0901200012155	NA
0901000011078	NA
0900700010407	NA
0900700015802	NA
0900700012795	NA
0900700012174	NA
0900600010698	NA
0900600010043	NA
090070001561A	NA
0900700011369	NA
0901200011640	NA
0900700014113	NA
0900700015376	NA
0900700013083	NA
0900700011975	NA
0900700013632	NA
090070001465A	NA
0900700015323	NA
0901200010765	NA
0901200261689	NA
0901200010591	NA
0901200012174	NA
0901200010163	NA
090120001173A	NA
0900300010408	NA
0900500012659	NA
0900500013360	NA
090020001099A	NA
0900500012502	NA
090120001198A	NA
090030001136A	NA
0901700010969	NA
0900200010294	NA
0900500010991	NA
0900300011270	NA
0900400010250	NA
0900300010588	NA
0900200011004	NA
0900500012235	NA
0900500010332	NA
0900600010109	NA
0900901520628	NA
0901700010530	NA
0900300011321	NA
0900800010298	NA
0900700014912	NA
0900900330350	NA
0900700015111	NA
0901700010757	NA
0901100010768	NA
090150001024A	NA
0901700010066	NA
090170001009A	NA
0901200011941	NA
0901700010070	NA
0901400010191	NA
0901400010365	NA
0901300010194	NA
0901200012013	NA
0901300011084	NA
090130001139A	NA
0901000011364	NA
0901300010122	NA
0901000012339	NA
0901200012348	NA
0900500010366	NA
0901100010950	NA
0901100010255	NA
0901200011034	NA
0901100011304	NA
0901000011190	NA
0901000010845	NA
0901000011839	NA
090100001181A	NA
0900600011126	NA
090090011051A	NA
0900700015200	NA
0900900010492	NA
0901500011337	NA
0900900010505	NA
0900700014522	NA
0900700012973	NA
0900700015342	NA
0900800010300	NA
0900700013863	NA
0900700013789	NA
0901000011557	NA
0900500012269	NA
0900700010197	NA
0900600010645	NA
0900700013238	NA
0900700012831	NA
0900700011369	NA
0900700012140	NA
0900700014077	NA
0900700014293	NA
0900700012634	NA
0900700014217	NA
0900700015450	NA
0900700015018	NA
0901500010786	NA
0901700010278	NA
0900500012112	NA
0900500012466	NA
0900500011542	NA
0900400010373	NA
0900500011330	NA
0900500012837	NA
0901700011505	NA
090050001313A	NA
0900500013430	NA
0900600010503	NA
0900500013229	NA
0901700011153	NA
0900500012470	NA
0901700010403	NA
0901700010526	NA
0900500012042	NA
0900800010546	NA
0900700015357	NA
0900500011237	NA
0900800010137	NA
0901200010267	NA
0900700011388	NA
0901200010159	NA
0901200011123	NA
0900600010715	NA
090060001072A	NA
0900500010949	NA
0900500011932	NA
0900200010631	NA
0900500013178	NA
0900500010385	NA
0900700014857	NA
0900500012080	NA
090130001025A	NA
0901100010202	NA
0901000011858	NA
0901000011186	NA
0901000011699	NA
0901000010205	NA
0901200010483	NA
0901100010306	NA
0900900170399	NA
090060001033A	NA
0900700015037	NA
0900600011037	NA
0900700014683	NA
0900700015179	NA
0900700012884	NA
0900900170365	NA
0900700010252	NA
0900700012901	NA
0900700014289	NA
090070001294A	NA
0900700015018	NA
0901300011046	NA
0901300011440	NA
0901300010245	NA
0900800010495	NA
0900700013647	NA
0901000011805	NA
0901300010438	NA
0901200010727	NA
0901200011439	NA
0901100241408	NA
0901100010147	NA
0901100010753	NA
090100001231A	NA
0901100010927	NA
090070001376A	NA
0901000010614	NA
0900700013844	NA
0901200192460	NA
0901100211516	NA
0901200011903	NA
0901300011173	NA
0900600010683	NA
0900500010900	NA
0900300011302	NA
0900500012625	NA
0900200010203	NA
0900300010802	NA
0900200010792	NA
0901700010992	NA
0900500013426	NA
0900500010135	NA
090050001288A	NA
0901500010362	NA
0900200010576	NA
0900900240651	NA
0900300011764	NA
0900400010138	NA
0900900290609	NA
0901200011049	NA
0900200010398	NA
0900200010400	NA
0901500010216	NA
0901500010451	NA
0901500010362	NA
0901500010930	NA
0901500010292	NA
0901700011115	NA
090050001263A	NA
0901300011328	NA
0900500013445	NA
0901300011578	NA
0900500013163	NA
090170001016A	NA
0901000012019	NA
090130001089A	NA
0901700010687	NA
0901700010988	NA
0901500010413	NA
0901500011445	NA
0901600010938	NA
0901700010507	NA
0901700011280	NA
0901700011219	NA
0900200010932	NA
090050001306A	NA
0901000011561	NA
0900700015910	NA
0900700010178	NA
0900700015249	NA
0900700015130	NA
0900700011778	NA
090170001137A	NA
0901700011187	NA
0901700011007	NA
0901700010954	NA
0901600011137	NA
0901600010181	NA
0901700011098	NA
0901500010729	NA
0901500010517	NA
0901500010521	NA
0901300010508	NA
0901200010816	NA
0901200010106	NA
0901200012278	NA
090120027230A	NA
0901200262329	NA
0901300010828	NA
0900200010218	NA
0900500011203	NA
0900500010099	NA
0900500013125	NA
0900200010631	NA
0900500011078	NA
0900200010491	NA
0900500010474	NA
090050001295A	NA
0900500012080	NA
0900300011552	NA
0900500012220	NA
0900700015126	NA
0900200011150	NA
0900901520613	NA
0900900290473	NA
0900700013717	NA
0900700015249	NA
0900700014679	NA
0900700012371	NA
0900700011778	NA
090020001028A	NA
0900700014024	NA
0901000010328	NA
0900400010104	NA
090040001027A	NA
0900900240651	NA
090170001087A	NA
0901700010263	NA
0900300011656	NA
0901000010277	NA
0901700011223	NA
090160001082A	NA
0901500010432	NA
090160001043A	NA
090170001112A	NA
0900700011693	NA
090120026166A	NA
0901300010828	NA
0900300010361	NA
0900500013322	NA
0901700011469	NA
090060001019A	NA
0900500013248	NA
090050001174A	NA
0901000012131	NA
0901200011053	NA
0900200011038	NA
0900300011548	NA
0900300010840	NA
0900600010664	NA
0900400200388	NA
0900300011533	NA
0900300010304	NA
0900300011590	NA
0900200010222	NA
0900500013074	NA
0900400010123	NA
0900700011316	NA
0900900290454	NA
0900800010103	NA
0901100010185	NA
0901000010440	NA
0900700013558	NA
0901000011970	NA
0901000011716	NA
0900700010360	NA
090040001034A	NA
0901700011204	NA
0901600010336	NA
0901600010995	NA
0901700010530	NA
0900700012371	NA
0900200010557	NA
0901700011149	NA
0900800010461	NA
0900700014024	NA
0901700010390	NA
0900700012672	NA
0900200010186	NA
0900200010699	NA
0901300010870	NA
0901400010312	NA
0901000010046	NA
0901000011364	NA
090130001071A	NA
0901100240734	NA
0900800010156	NA
0901100010607	NA
090100001078A	NA
0901000012305	NA
0901000010101	NA
090110001108A	NA
0901000012004	NA
0901100010575	NA
0901000010370	NA
0901000010027	NA
0901100010448	NA
0901000010258	NA
0900600011126	NA
0900700014325	NA
0900700014842	NA
0900700013346	NA
090070001305A	NA
0900700014429	NA
0900700015747	NA
0900700014452	NA
0900700015592	NA
0900700012812	NA
0900600010471	NA
0900700015893	NA
0900700012850	NA
0900700015450	NA
0901300011402	NA
0901300011046	NA
0901400010312	NA
0901300011224	NA
0901200010144	NA
0901000011650	NA
0901100010753	NA
0901000010807	NA
090110001026A	NA
0901300010743	NA
0901300011510	NA
0901000011928	NA
0901000012112	NA
0901300010404	NA
0901100010170	NA
0901100010819	NA
0901200012333	NA
0901000011203	NA
0901200010568	NA
0901000011487	NA
090050001231A	NA
0900500012466	NA
0900500011631	NA
0900500010671	NA
0900600010128	NA
090050001014A	NA
0900600011183	NA
0900600011111	NA
0900600010429	NA
0900500012381	NA
0900500012305	NA
0900700012653	NA
0900500011307	NA
0900500012822	NA
0900500013430	NA
0901000010277	NA
0900600010448	NA
0901700011295	NA
0901600010815	NA
0901700011524	NA
0901700011079	NA
0901600011353	NA
0901700010812	NA
0901700010634	NA
0901700010598	NA
090130635	NA
0900500012894	NA
0900500011928	NA
090090115	NA
090130620	NA
0900500012150	NA
0900600010378	NA
0901000012095	NA
0901700010437	NA
0901600010069	NA
0901600010976	NA
0901600010730	NA
0901600010980	NA
0901600010872	NA
0901600011141	NA
0901600010054	NA
0901200010483	NA
0901000010544	NA
090100001199A	NA
0901000011754	NA
0901100010344	NA
0901100010058	NA
0900900170558	NA
0900700014838	NA
0900900010308	NA
0900700010816	NA
0900700015395	NA
0900700014768	NA
0900700013505	NA
0900700010144	NA
0900700015658	NA
0900700012051	NA
0900700011250	NA
0900700010106	NA
0900700014895	NA
0900700011566	NA
0900700012812	NA
0901300010813	NA
090100001103A	NA
0901400010543	NA
0901400010558	NA
0901000010239	NA
0901200010178	NA
0901300011525	NA
0901300010438	NA
0901200011439	NA
0901100010147	NA
0901300011332	NA
0901100011380	NA
0900600011200	NA
0901200010854	NA
090070001593A	NA
090110011072A	NA
090110001154A	NA
0900900110401	NA
090100001021A	NA
0901100011075	NA
0901000011631	NA
0901000010262	NA
0900600011164	NA
0900900240219	NA
0901000012038	NA
0900900010562	NA
090070001006A	NA
090070001091A	NA
0900700012511	NA
0900700013134	NA
0900700015287	NA
0900700012437	NA
0900700014698	NA
090070001508A	NA
0900700010479	NA
0900700013581	NA
0900700010252	NA
0900700015592	NA
0901000011542	NA
0900600010471	NA
090070001579A	NA
090070001383A	NA
0900700013632	NA
090070001294A	NA
0901400010454	NA
0901400010365	NA
0901400010045	NA
0901300010851	NA
0901300010688	NA
0901100011338	NA
0900700010303	NA
0901000010686	NA
090110001065A	NA
0901100011535	NA
0901200261528	NA
0901100111037	NA
0901200011176	NA
0901000011044	NA
0901000012381	NA
0901000011839	NA
0901100011075	NA
0901000012108	NA
0901100011287	NA
0900600011200	NA
0900900110543	NA
0900900110420	NA
0900700015200	NA
0900700015041	NA
0900700012973	NA
0900700015342	NA
0900700015840	NA
0900700012437	NA
0900700014895	NA
0900700011443	NA
0900700015643	NA
0900700015785	NA
0900700013238	NA
0900700014467	NA
0900700015145	NA
0900700014147	NA
0900700015501	NA
0901200262403	NA
0901200010197	NA
0900500011152	NA
0900700012102	NA
0900500013286	NA
0901600011279	NA
0900500011788	NA
0900500010949	NA
0900500013248	NA
0900500012428	NA
0900500010506	NA
0900500010807	NA
0900500011186	NA
0900500012536	NA
0900300011533	NA
0900500010169	NA
0900500013197	NA
0900200010222	NA
0900500012235	NA
0900700011316	NA
0900700010178	NA
0900700010587	NA
0900700013596	NA
0900900330350	NA
090170001048A	NA
0900200010383	NA
0901700011007	NA
0901700010954	NA
0901700010757	NA
0901600011137	NA
090170001023A	NA
0901600010181	NA
0901600010270	NA
0900200010557	NA
0901700010691	NA
0901700010282	NA
090150001024A	NA
0901600010162	NA
0901500010220	NA
0901500010235	NA
0901100211018	NA
0901100010359	NA
0900700015361	NA
0901000010718	NA
0900700015573	NA
0900200010330	NA
0900500012095	NA
0900500011364	NA
0900500010900	NA
0900500010188	NA
0900200010909	NA
0900200011061	NA
0900300010639	NA
0900300011162	NA
090030001093A	NA
0900200010612	NA
090030001054A	NA
0900500011877	NA
0901500011337	NA
0900500012767	NA
0900300011181	NA
0900200010913	NA
0900200011150	NA
0900700014058	NA
0900400010138	NA
0900300011355	NA
0900700013967	NA
0901600010622	NA
0900200011131	NA
0901600011334	NA
0901700010174	NA
0901500010377	NA
0901400010810	NA
0901500010447	NA
0901500010428	NA
0901700011492	NA
0900500012930	NA
0901500010837	NA
0901500010555	NA
0900600010289	NA
0900500013356	NA
0900500011059	NA
0900500012339	NA
0900500012451	NA
0900600010109	NA
0900500012983	NA
0900500011684	NA
0900600011022	NA
0901000010296	NA
0901500010979	NA
0900500012574	NA
0901500011407	NA
0901700010422	NA
0901500011252	NA
0900500011449	NA
0900500012606	NA
0901600010637	NA
0901600010124	NA
0901600010868	NA
0901600011103	NA
0901600011122	NA
0901000011523	NA
090110838	NA
090040335	NA
0901700011492	NA
0901500011106	NA
0901500010061	NA
0901400010721	NA
0900500012112	NA
0900600011094	NA
0901600010552	NA
0900500013394	NA
0900600011003	NA
0900500012339	NA
0900700010962	NA
0901600010976	NA
0901700010738	NA
0901600011175	NA
0901200010996	NA
0901200011299	NA
0900700013897	NA
0901200012278	NA
0900600010698	NA
0900700015785	NA
0900700012899	NA
0900700014151	NA
090070001433A	NA
0900700014359	NA
0900700010337	NA
0900700010356	NA
0900700015520	NA
0901400010488	NA
0901300010724	NA
0901300010014	NA
0901300010758	NA
0901100241183	NA
0901200012352	NA
0901000010351	NA
0901000010686	NA
090100001078A	NA
0901100011395	NA
0901000012305	NA
0901200010303	NA
0901500010220	NA
0901200012367	NA
0901100011412	NA
0901000012042	NA
0901000010027	NA
0901000011218	NA
0901000011699	NA
0901000012108	NA
0900700015126	NA
0901000010012	NA
0901100010166	NA
090100001224A	NA
0900700014274	NA
0900700014575	NA
0900700014537	NA
0900700012723	NA
0900600011037	NA
0900700014039	NA
0900600010081	NA
090090017037A	NA
0900700010229	NA
0900700015874	NA
0900700014113	NA
0900700012780	NA
0900700011975	NA
0900700012579	NA
0900700011814	NA
0900700010093	NA
0900700015304	NA
0901000010597	NA
0901200010568	NA
0901100010626	NA
0901000010188	NA
0900700014791	NA
0900700013810	NA
0900700013420	NA
0900700015319	NA
090070001522A	NA
0900700010816	NA
0900700014768	NA
0900700013030	NA
0900700013863	NA
0900700014556	NA
0900700012969	NA
0900700015658	NA
0900700014039	NA
0900600010081	NA
0900700015817	NA
0900700014611	NA
0900700015728	NA
0900700015874	NA
0900700015855	NA
0900700014645	NA
0901200261674	NA
090070001209A	NA
0900700013134	NA
0900700013825	NA
0900700012070	NA
0900700011284	NA
0900700014202	NA
0900400010320	NA
0900300011247	NA
0900500011754	NA
0900200010913	NA
0900200010932	NA
0901300011559	NA
0900300011482	NA
0900300011321	NA
0900300010662	NA
0901000012057	NA
0900300011497	NA
0900200011146	NA
0900900360223	NA
0900800010298	NA
0900700012386	NA
0901200192475	NA
0900700014912	NA
0900700012988	NA
0900800010461	NA
0900500011241	NA
0901600010336	NA
0901700011187	NA
0901500010131	NA
0901600011071	NA
0901100111041	NA
0901200011176	NA
0901700010066	NA
0901600010745	NA
0901200271782	NA
0901300011436	NA
090050001224A	NA
0900500010953	NA
0900500013337	NA
0900500010614	NA
090110011072A	NA
090060001108A	NA
0900600010946	NA
090050001181A	NA
0901200271782	NA
0900200010805	NA
0900300010376	NA
0901200011462	NA
0900500012964	NA
0901400010488	NA
0901400010562	NA
0901300011296	NA
0901300011544	NA
0901300010866	NA
0901100010289	NA
0901000010239	NA
0901300010387	NA
0901000010493	NA
090100001103A	NA
0901000010900	NA
0901100011395	NA
0901000012377	NA
0901200010854	NA
0901100010170	NA
0900500013093	NA
0900500011646	NA
090050001110A	NA
0901600010529	NA
0901700011219	NA
0900700011960	NA
0901200010816	NA
0901200011424	NA
0900700012117	NA
0901100211022	NA
0901200012155	NA
090050001338A	NA
0900700011706	NA
0901200011918	NA
0901200010197	NA
0900500013337	NA
0900600010522	NA
0900500012254	NA
0900500013214	NA
0900500010506	NA
0900200010754	NA
0900500011843	NA
0900500010826	NA
0900500010794	NA
0900600011041	NA
0901500010964	NA
0900500011434	NA
0900500013144	NA
0900500011792	NA
0901600010637	NA
0901600010849	NA
0901700011312	NA
0901600010069	NA
0901600011122	NA
0901700011399	NA
0901600010800	NA
0901600010020	NA
090130620	NA
090121829	NA
0900500010328	NA
0900300010573	NA
0900200010114	NA
0900300011779	NA
0900900240191	NA
0900900240596	NA
0900200011184	NA
0900600010170	NA
0900500011379	NA
0900300011285	NA
0901600010618	NA
0901700010649	NA
0901600010463	NA
0901500010150	NA
090160001100A	NA
090160001082A	NA
0901500010235	NA
0900700011388	NA
090120001013A	NA
0900700013401	NA
0900700014306	NA
0900600010768	NA
0900500012470	NA
0901300010758	NA
0900300011162	NA
090030001136A	NA
0900400010373	NA
0900300010588	NA
0900200010928	NA
0900500013074	NA
0900700014058	NA
0900800010175	NA
0900300011779	NA
0900700014414	NA
0901000012324	NA
0901000012216	NA
0900500011379	NA
0900300011340	NA
0900700010591	NA
0901700010742	NA
0901700011473	NA
0901400010261	NA
0900200010843	NA
0901600010603	NA
0900200010171	NA
0901700010225	NA
0901300010851	NA
0901600011048	NA
0901600010374	NA
0901200010229	NA
090060001001A	NA
0900500012150	NA
0901100011431	NA
0901500011407	NA
0901500011430	NA
090150001106A	NA
0901600010887	NA
0901600011141	NA
090101326	NA
0901300010739	NA
0901300010870	NA
0901000011792	NA
0901300010809	NA
0901300011050	NA
090130001121A	NA
